task_number,analysis_name,analysis_id,schema_version,artifact_path,artifact_type,sha256,validator_path,validator_status,stage_status,canonical_or_context,notes
global,canonical Step8A input,054a1961fc0582a33d36413263668b63074b21ae8b03d12269b6e228787f3439,step8a_dataset_stats,outputs/experiments/manavgat_2021/step8a/step8a_dataset_stats.json,manifest,18170d2a67aa17e2d515dbd782c69bc7e43f08062d3d5b15de410795d2898cd5,outputs/experiments/manavgat_2021/step8a/step8a_dataset_stats.json,PASS,complete,canonical,Dataset SHA independently verified; primary counts cross-checked against final diagnostic inventories.
global,canonical Step8A input,3dec785a7d8e31db2d67ed283546bbfbca1559f56df46663488d0afc24d9e393,step8a_dataset_stats,outputs/experiments/bejis_2022/step8a/step8a_dataset_stats.json,manifest,af8f7ea2db814f065ca8632ba7de486a5dfbaed0eaaad8a9cf6296ca4ea48e23,outputs/experiments/bejis_2022/step8a/step8a_dataset_stats.json,PASS,complete,canonical,Dataset SHA independently verified; primary counts cross-checked against final diagnostic inventories.
global,canonical Step8A input,c4ab107db2207f9f20775ccc0b3bf39381173fd07d4e82f6821ce7f40be7db8e,step8a_dataset_stats,outputs/experiments/mugla_2021/step8a/step8a_dataset_stats.json,manifest,c9bebf854270393de2e4a75e1bb1d6ce21bdddc00017498ee54ea6802b62ebd8,outputs/experiments/mugla_2021/step8a/step8a_dataset_stats.json,PASS,complete,canonical,Dataset SHA independently verified; primary counts cross-checked against final diagnostic inventories.
global,canonical Step8A input,bdce859cf482f575d0f273174b157f47efd61779953fdd23d9486c5face5e553,step8a_dataset_stats,outputs/experiments/evia_2021_extended/step8a/step8a_dataset_stats.json,manifest,8ba510dacff226db389a406f736372fedf511e83edc95a8f4cec332a72aef74f,outputs/experiments/evia_2021_extended/step8a/step8a_dataset_stats.json,PASS,complete,canonical,Dataset SHA independently verified; primary counts cross-checked against final diagnostic inventories.
00,signed univariate AUC,6b4a639adb62ccbaee98a9914b7a8dca49dc06a826ae3bb070e601560812ee11,multi_aoi_univariate_auc,outputs/diagnostics/step9g_univariate_feature_auc_direction_reversal/comparison/bejis_2022__manavgat_2021__mugla_2021/multi_aoi_univariate_auc_long.csv,summary,fbe9705312c06fca14ef3a1dbf4b4c81e7ba5f5a2faffc62835f7947eca9ddd8,outputs/diagnostics/step9g_univariate_feature_auc_direction_reversal/comparison/bejis_2022__manavgat_2021__mugla_2021/multi_aoi_univariate_auc_comparison.json,PASS,complete,canonical,
02,Evia decision,,final_step8_report,outputs/experiments/evia_2021/step8e/final_step8_report.json,summary,e27e9f6aa95cc9495f483ea76d08095208b9037b37039c774d5d96afdec6991b,outputs/experiments/evia_2021/step8e/final_step8_report.json,PASS,complete,canonical,
02,Evia decision,,final_step8_report,outputs/experiments/evia_2021_extended/step8e/final_step8_report.json,summary,9b7076d13cb2e4473ffa7d7a8ddb6c8dc521655d5cbf85ba075f57d2e7448034,outputs/experiments/evia_2021_extended/step8e/final_step8_report.json,PASS,complete,canonical,
03,marginal AoA,4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492,marginal_aoa_completion.v1,outputs/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/marginal_diagnostics_with_transfer.csv,summary,59729bae072082d285718de59fb4d07983a842c74cbf70eff1e8744548e216fc,outputs/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/completion_metadata.json,PASS,complete,canonical,
03,marginal AoA rank correlations,4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492,marginal_aoa_completion.v1,outputs/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/comparison/ranking_summary.csv,summary,f762c4fe9fa32d0bd6626cf77e9f0b1e3184a70688d87335fe8764b4fb020c1d,outputs/diagnostics/marginal_aoa_completion/4b2a1c86c0c197c2a331c133d1120f9531ce385441d86af0d8c6154024417492/completion_metadata.json,PASS,complete,canonical,
04,window closure sensitivity,fd115cf7092e88fd906e847bf405f0cb3b15dc096e281d395228225d25380caa,window_closure_compare.v1,outputs/diagnostics/window_closure_region/manavgat_2021/2d9c1ac92e7072d74f90c8f7ff6568b32eadf880ccc550f8f4a06f085571416b/_production/manavgat_2021/compare/summaries/comparison_summary.json,summary,cb4fccee7ef1faa5b81c5352299afb3f9b31bc5ba9e7ce90c90b244799060dea,outputs/diagnostics/window_closure_region/manavgat_2021/2d9c1ac92e7072d74f90c8f7ff6568b32eadf880ccc550f8f4a06f085571416b/_production/manavgat_2021/compare/summaries/comparison_summary.json,PASS,complete,canonical,
