source_experiment,target_experiment,direction,primary_transfer_comparison,primary_selection,within_target_auc,target_mean_dissimilarity,target_p95_dissimilarity,fraction_inside_weighted_aoa,climate_distance,centroid_geodesic_distance_km,unweighted_fraction_target_cells_inside_support,raw_thermal_roc_auc,raw_thermal_pr_auc,thermal_roc_auc_gap,thermal_pr_auc_gap,adapted_thermal_roc_auc_regionwise_zscore,adapted_thermal_pr_auc_regionwise_zscore,adapted_thermal_roc_auc_coral,adapted_thermal_pr_auc_coral,recovered_fraction,mean_weighted_di,p95_weighted_di,weighted_aoa_inside_fraction,weighted_aoa_inside_percent,geographic_distance_km,mean_di_rank,p95_di_rank,aoa_inside_rank,climate_rank,geographic_rank,transfer_rank
bejis_2022,evia_2021_extended,bejis_2022_to_evia_2021_extended,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.9122372202621674,0.3377786514882156,0.5257321618973324,0.1704667670466767,0.4193235536499814,2077.731658540305,0.6533663153366316,0.3828214331304473,0.2257835213181088,0.52941578713172,0.590583578450582,0.5315998278954264,0.2909285420233045,0.4990973789586994,0.2748417434786117,0.2810237215838118,0.3377786514882156,0.5257321618973324,0.1704667670466767,17.04667670466767,2077.731658540305,5,6,3,4,3,11
bejis_2022,manavgat_2021,bejis_2022_to_manavgat_2021,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.8696419777927898,0.365092481069614,0.687146340764711,0.2207248844563366,0.5921806818373304,2808.391355321003,0.7485769885672586,0.4435284296463047,0.034406342979776,0.4261135481464851,0.1812200566583217,0.4573382668320535,0.0385131893896018,0.5553095674321841,0.0427097053649487,0.0324088197754308,0.365092481069614,0.687146340764711,0.2207248844563366,22.07248844563366,2808.391355321003,3,4,5,2,1,9
bejis_2022,mugla_2021,bejis_2022_to_mugla_2021,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.8589830389802724,0.3199361972811828,0.4932931773800146,0.1997795403896384,0.8726406223000779,2514.117001727368,0.7637966978984448,0.6184747489978262,0.0925385912286984,0.2405082899824462,0.3542087989154807,0.5177332840752557,0.0688239034545231,0.5066377964680288,0.0690723899914225,-0.4188689917088648,0.3199361972811828,0.4932931773800146,0.1997795403896384,19.97795403896384,2514.117001727368,6,8,4,1,2,3
evia_2021_extended,bejis_2022,evia_2021_extended_to_bejis_2022,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.9178110845861024,0.4862588199588097,0.8844110397496701,0.0728768926925609,0.4193235536499814,2077.731658540305,0.8562211981566821,0.4480079359958707,0.0591842483213908,0.4698031485902317,0.4386235579730591,0.5494716433318279,0.0765526215444452,0.5489253500225821,0.0745688917143,0.2159706839778017,0.4862588199588097,0.8844110397496701,0.0728768926925609,7.28768926925609,2077.731658540305,1,1,2,4,3,8
evia_2021_extended,manavgat_2021,evia_2021_extended_to_manavgat_2021,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.8696419777927898,0.3494944693248878,0.7555216197703724,0.4067136949647287,0.3946797296194553,731.20810593851,0.8994891753831185,0.6857777670301659,0.0937917104825443,0.1838642107626239,0.1218346891555534,0.5163020833872151,0.0361148483525623,0.5273082809947622,0.0371490175437376,-0.9217437310937622,0.3494944693248878,0.7555216197703724,0.4067136949647287,40.67136949647287,731.20810593851,4,3,7,5,4,1
evia_2021_extended,mugla_2021,evia_2021_extended_to_mugla_2021,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.8589830389802724,0.2468574381461607,0.5115908787629446,0.6309697826555798,0.5147819063726174,448.26828177186536,0.9590232680740935,0.576836486299561,0.0856193943900276,0.2821465526807114,0.3611279957541515,0.5013427713990719,0.0664215647014893,0.5302390241229922,0.0717027194431094,-0.2675691557568695,0.2468574381461607,0.5115908787629446,0.6309697826555798,63.09697826555798,448.26828177186536,8,7,10,3,5,6
manavgat_2021,bejis_2022,manavgat_2021_to_bejis_2022,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.9178110845861024,0.2731008511785548,0.4580095402456554,0.2646477946017117,0.5921806818373304,2808.391355321003,0.91560236998025,0.3258336344280276,0.0487581216869248,0.5919774501580748,0.4490496846075251,0.4770999741918833,0.0666674192031275,0.5105400025808117,0.0695807189177977,0.2555271990908831,0.2731008511785548,0.4580095402456554,0.2646477946017117,26.46477946017117,2808.391355321003,7,9,6,2,1,12
manavgat_2021,evia_2021_extended,manavgat_2021_to_evia_2021_extended,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.9122372202621674,0.1675964082359548,0.2967656310940206,0.7443536244353625,0.3946797296194553,731.20810593851,0.9424607442460744,0.6125620551965896,0.3426989575695243,0.2996751650655778,0.4736681421991664,0.5422100386488388,0.3124834949186598,0.539335536923719,0.3239938001758473,-0.2347609169827459,0.1675964082359548,0.2967656310940206,0.7443536244353625,74.43536244353625,731.20810593851,11,11,11,5,4,4
manavgat_2021,mugla_2021,manavgat_2021_to_mugla_2021,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.8589830389802724,0.1401223032521492,0.2436492072762509,0.8751767271333062,0.373876487279662,306.95476059842844,0.9639596463061034,0.4701598710870077,0.0626464704650159,0.3888231678932647,0.3841009196791631,0.4305043280209929,0.0610343471113958,0.4429622459524184,0.0637275561671595,-0.1019886322126271,0.1401223032521492,0.2436492072762509,0.8751767271333062,87.51767271333063,306.95476059842844,12,12,12,6,6,7
mugla_2021,bejis_2022,mugla_2021_to_bejis_2022,raw_thermal_roc_auc,"{""metric"":""roc_auc"",""model_family"":""thermal"",""transfer_state"":""raw""}",0.9178110845861024,0.4663418199185415,0.8549570643567039,0.0050032916392363,0.8726406223000779,2514.117001727368,0.9075707702435812,0.5831912381443964,0.0882719168819328,0.3346198464417059,0.409535889412517,0.5352625975869411,0.0721847069129346,0.560332344022195,0.0779051864706781,-0.1432331078599219,0.4663418199185415,0.8549570643567039,0.0050032916392363,0.50032916392363,2514.117001727368,2,2,1,1,2,5
