arm,direction,model_family,metric,full_reference_value,n_repeats_observed,subsample_median,subsampling_interval_lower,subsampling_interval_upper,subsample_minimum,subsample_maximum,oriented_delta_median,oriented_delta_interval_lower,oriented_delta_interval_upper,oriented_delta_minimum,oriented_delta_maximum,reference_position,interpretation_sentence,natural_delta_median
within_mugla,mugla_2021,baseline,roc_auc,0.6979859420145867,20,0.689042345684945,0.6781820986704549,0.6976889995228784,0.6779012150593061,0.6979671727548216,-0.0089435963296416,-0.019803843344131846,-0.0002969424917082846,-0.0200847269552806,-1.87692597651834e-05,above_subsampling_interval,The full-population point estimate differs from the range observed across the deterministic size-matched subsets.,-0.008943596329641701
within_mugla,mugla_2021,baseline,pr_auc,0.163687445860183,20,0.1594805854440017,0.14666493467769678,0.16979713736845414,0.1462718522307232,0.1715329837229445,-0.0042068604161812,-0.017022511182486114,0.006109691508271155,-0.0174155936294597,0.0078455378627615,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.004206860416181291
within_mugla,mugla_2021,baseline,brier_score,0.1127183407826073,20,0.11302328346646831,0.11197094906165928,0.11535676235791335,0.1119556484716014,0.1156200004120655,-0.0003049426838609,-0.0026384215753060074,0.00074739172094797,-0.0029016596294581,0.0007626923110058,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.000304942683861012
within_mugla,mugla_2021,thermal,roc_auc,0.7773268638729566,20,0.7601629148005902,0.7480576995114372,0.7698397360569198,0.7471762287739071,0.7715071301704666,-0.017163949072366402,-0.029269164361519308,-0.007487127816036742,-0.0301506350990494,-0.00581973370249,above_subsampling_interval,The full-population point estimate differs from the range observed across the deterministic size-matched subsets.,-0.017163949072366402
within_mugla,mugla_2021,thermal,pr_auc,0.301925915788068,20,0.27554432557435626,0.2614753481269495,0.2883643465346209,0.2589261888689177,0.2905627907684419,-0.0263815902137117,-0.040450567661118465,-0.013561569253447023,-0.0429997269191503,-0.0113631250196261,above_subsampling_interval,The full-population point estimate differs from the range observed across the deterministic size-matched subsets.,-0.026381590213711725
within_mugla,mugla_2021,thermal,brier_score,0.0772666711161345,20,0.0809564117608005,0.0800817732683529,0.0817334442987881,0.0799685621796925,0.0817712912541043,-0.0036897406446659998,-0.004466773182653592,-0.0028151021522183502,-0.0045046201379698,-0.0027018910635579,above_subsampling_interval,The full-population point estimate differs from the range observed across the deterministic size-matched subsets.,0.003689740644665998
mugla_as_source,mugla_2021_to_manavgat_2021,baseline,roc_auc,0.52151982986128,20,0.5131934677480259,0.4930446521355793,0.5268833552804455,0.4915496398285578,0.5285674650303169,-0.00832636211325405,-0.02847517772570064,0.005363525419165438,-0.0299701900327221,0.0070476351690369,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.008326362113254104
mugla_as_source,mugla_2021_to_manavgat_2021,baseline,pr_auc,0.0378368644741754,20,0.0375262671756407,0.03581877377890262,0.03885634619060429,0.0355726265517515,0.0391368894829973,-0.0003105972985347,-0.00201809069527278,0.0010194817164287868,-0.0022642379224239,0.0013000250088218,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.0003105972985346997
mugla_as_source,mugla_2021_to_manavgat_2021,baseline,brier_score,0.1962628794634544,20,0.19953441030676294,0.19152802888163256,0.20882823929916966,0.1887322450477533,0.2122597266125869,-0.0032715308433085,-0.012565359835715263,0.004734850581821782,-0.0159968471491325,0.007530634415701,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,0.0032715308433085566
mugla_as_source,mugla_2021_to_manavgat_2021,thermal,roc_auc,0.4009996658469744,20,0.39485097214736253,0.3782811509114722,0.40342286043783354,0.3779306280731991,0.4037656744149477,-0.00614869369961185,-0.022718514935502174,0.002423194590859044,-0.0230690377737752,0.0027660085679732,inside_subsampling_interval,Observed performance is compatible with sample-size-matched Mugla subsets under this selection design.,-0.006148693699611851
