candidate_id,experiment_id,artifact_path,schema,analysis_id,source_commit,sha256,model_family,model_algorithm,feature_contract,importance_method,importance_method_class,importance_column_names,fold_repeat_structure,oof_or_in_sample,source_labels_used,target_labels_used,normalized,negative_possible,categorical_representation,present_in_all_four_aois,status,recommendation_rank,notes
step8b_impurity_thermal,manavgat_2021,outputs/experiments/manavgat_2021/step8b/step8b_feature_importance.csv,"population,model,feature,importance",,,24a18effd1b7828d48f2d1507dec982111364d637cee2bb884e4b7178aa72ec5,thermal,RandomForestClassifier(n_estimators=300;min_samples_leaf=3;class_weight=balanced;random_state=42),SHARED_THERMAL_MODEL_FEATURES,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1,no,one_hot_dummy_level,yes,PRIMARY_RECOMMENDED,1,"16 rows at (burnable_tree_shrub_grass, thermal). Landcover group weight 0.02824. Top numeric weight elevation_mean 0.22827."
step8b_impurity_thermal,bejis_2022,outputs/experiments/bejis_2022/step8b/step8b_feature_importance.csv,"population,model,feature,importance",,,abc2a3b771d464dfac38597bbe6a0b425e6bec175bad860cc7a954fa005a3d49,thermal,RandomForestClassifier(n_estimators=300;min_samples_leaf=3;class_weight=balanced;random_state=42),SHARED_THERMAL_MODEL_FEATURES,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1,no,one_hot_dummy_level,yes,PRIMARY_RECOMMENDED,1,"16 rows. Landcover group weight 0.10561 -- the highest of the four, driven by cat__landcover_dominant_20 (shrubland) at 0.0659. Top numeric weight elevation_mean 0.33356."
step8b_impurity_thermal,mugla_2021,outputs/experiments/mugla_2021/step8b/step8b_feature_importance.csv,"population,model,feature,importance",,,9077eb95f928e9d0a575d658c9c03fe5cb8ffa485b04ebddafc08b102451e3ce,thermal,RandomForestClassifier(n_estimators=300;min_samples_leaf=3;class_weight=balanced;random_state=42),SHARED_THERMAL_MODEL_FEATURES,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1,no,one_hot_dummy_level,yes,PRIMARY_RECOMMENDED,1,"17 rows (8 landcover levels). Landcover group weight 0.00932 -- the lowest. Top numeric weight elevation_mean 0.17258."
step8b_impurity_thermal,evia_2021_extended,outputs/experiments/evia_2021_extended/step8b/step8b_feature_importance.csv,"population,model,feature,importance",,,81995a6088f13b2d115a23be13917f561af264b5bdf1ef98b4fb940a15b6bf5a,thermal,RandomForestClassifier(n_estimators=300;min_samples_leaf=3;class_weight=balanced;random_state=42),SHARED_THERMAL_MODEL_FEATURES,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1,no,one_hot_dummy_level,yes,PRIMARY_RECOMMENDED,1,"17 rows (8 landcover levels). Landcover group weight 0.01141. The only AOI where elevation_mean is NOT the top numeric weight -- lst_anomaly_mean leads at 0.14030."
step8b_impurity_baseline,manavgat_2021,outputs/experiments/manavgat_2021/step8b/step8b_feature_importance.csv,"population,model,feature,importance",,,24a18effd1b7828d48f2d1507dec982111364d637cee2bb884e4b7178aa72ec5,baseline,RandomForestClassifier(n_estimators=300;min_samples_leaf=3;class_weight=balanced;random_state=42),SHARED_BASELINE_FEATURES,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1,no,one_hot_dummy_level,yes,REJECTED_WRONG_FEATURE_SPACE,4,"Only 4 features. Cannot weight the six thermal predictors the AoA is defined over. See decision A-2."
step8b_impurity_baseline,bejis_2022,outputs/experiments/bejis_2022/step8b/step8b_feature_importance.csv,"population,model,feature,importance",,,abc2a3b771d464dfac38597bbe6a0b425e6bec175bad860cc7a954fa005a3d49,baseline,RandomForestClassifier(n_estimators=300;min_samples_leaf=3;class_weight=balanced;random_state=42),SHARED_BASELINE_FEATURES,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1,no,one_hot_dummy_level,yes,REJECTED_WRONG_FEATURE_SPACE,4,"Same."
step8b_impurity_baseline,mugla_2021,outputs/experiments/mugla_2021/step8b/step8b_feature_importance.csv,"population,model,feature,importance",,,9077eb95f928e9d0a575d658c9c03fe5cb8ffa485b04ebddafc08b102451e3ce,baseline,RandomForestClassifier(n_estimators=300;min_samples_leaf=3;class_weight=balanced;random_state=42),SHARED_BASELINE_FEATURES,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1,no,one_hot_dummy_level,yes,REJECTED_WRONG_FEATURE_SPACE,4,"Same."
step8b_impurity_baseline,evia_2021_extended,outputs/experiments/evia_2021_extended/step8b/step8b_feature_importance.csv,"population,model,feature,importance",,,81995a6088f13b2d115a23be13917f561af264b5bdf1ef98b4fb940a15b6bf5a,baseline,RandomForestClassifier(n_estimators=300;min_samples_leaf=3;class_weight=balanced;random_state=42),SHARED_BASELINE_FEATURES,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1,no,one_hot_dummy_level,yes,REJECTED_WRONG_FEATURE_SPACE,4,"Same."
step8d_ablation_all_thermal,manavgat_2021,outputs/experiments/manavgat_2021/step8d/step8d_ablation_feature_importance.csv,"population,model_name,feature,importance",,,,ablation_variant,RandomForestClassifier(same hyperparameters),per_ablation_variant_subset,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1_per_variant,no,one_hot_dummy_level,yes,REJECTED_ABLATED_FEATURE_SUBSET,3,"351 rows across 11 ablation variants. model_name is an ablation variant, not a model family. Usable only as a later robustness comparison."
step8d_ablation_all_thermal,bejis_2022,outputs/experiments/bejis_2022/step8d/step8d_ablation_feature_importance.csv,"population,model_name,feature,importance",,,,ablation_variant,RandomForestClassifier(same hyperparameters),per_ablation_variant_subset,mean_decrease_in_impurity_gini,impurity_gain,importance,none_single_final_refit,in_sample_whole_population,yes,no,yes_sums_to_1_per_variant,no,one_hot_dummy_level,yes,REJECTED_ABLATED_FEATURE_SUBSET,3,"384 rows across 11 variants."
